DATE,FF
2017-08-09,1.16
2017-08-16,1.16
2017-08-23,1.16
2017-08-30,1.16
2017-09-06,1.15
2017-09-13,1.16
2017-09-20,1.16
2017-09-27,1.16
2017-10-04,1.12
2017-10-11,1.16
2017-10-18,1.16
2017-10-25,1.16
2017-11-01,1.15
2017-11-08,1.16
2017-11-15,1.16
2017-11-22,1.16
2017-11-29,1.16
2017-12-06,1.15
2017-12-13,1.16
2017-12-20,1.41
2017-12-27,1.42
2018-01-03,1.37
2018-01-10,1.42
2018-01-17,1.42
2018-01-24,1.42
2018-01-31,1.41
2018-02-07,1.42
2018-02-14,1.42
2018-02-21,1.42
2018-02-28,1.41
2018-03-07,1.42
2018-03-14,1.42
2018-03-21,1.43
2018-03-28,1.68
2018-04-04,1.68
2018-04-11,1.69
2018-04-18,1.69
2018-04-25,1.70
2018-05-02,1.70
2018-05-09,1.70
2018-05-16,1.70
2018-05-23,1.70
2018-05-30,1.70
2018-06-06,1.70
2018-06-13,1.70
2018-06-20,1.90
2018-06-27,1.92
2018-07-04,1.91
2018-07-11,1.91
2018-07-18,1.91
2018-07-25,1.91
2018-08-01,1.91
2018-08-08,1.91
2018-08-15,1.91
2018-08-22,1.92
2018-08-29,1.92
2018-09-05,1.91
2018-09-12,1.92
2018-09-19,1.92
2018-09-26,1.92
2018-10-03,2.18
2018-10-10,2.18
2018-10-17,2.18
2018-10-24,2.19
2018-10-31,2.20
2018-11-07,2.20
2018-11-14,2.19
2018-11-21,2.20
2018-11-28,2.20
2018-12-05,2.20
2018-12-12,2.19
2018-12-19,2.19
2018-12-26,2.40
2019-01-02,2.40
2019-01-09,2.40
2019-01-16,2.40
2019-01-23,2.40
2019-01-30,2.40
2019-02-06,2.40
2019-02-13,2.40
2019-02-20,2.40
2019-02-27,2.40
2019-03-06,2.40
2019-03-13,2.40
2019-03-20,2.40
2019-03-27,2.41
2019-04-03,2.42
2019-04-10,2.41
2019-04-17,2.41
2019-04-24,2.44
2019-05-01,2.44
2019-05-08,2.40
2019-05-15,2.38
2019-05-22,2.39
2019-05-29,2.38
2019-06-05,2.39
2019-06-12,2.37
2019-06-19,2.37
2019-06-26,2.38
2019-07-03,2.40
2019-07-10,2.41
2019-07-17,2.39
2019-07-24,2.41
2019-07-31,2.40
2019-08-07,2.13
2019-08-14,2.12
2019-08-21,2.13
2019-08-28,2.12
2019-09-04,2.13
2019-09-11,2.13
2019-09-18,2.19
2019-09-25,1.90
2019-10-02,1.85
2019-10-09,1.82
2019-10-16,1.84
2019-10-23,1.85
2019-10-30,1.83
2019-11-06,1.57
2019-11-13,1.55
2019-11-20,1.55
2019-11-27,1.55
2019-12-04,1.56
2019-12-11,1.55
2019-12-18,1.55
2019-12-25,1.55
2020-01-01,1.55
2020-01-08,1.55
2020-01-15,1.54
2020-01-22,1.55
2020-01-29,1.55
2020-02-05,1.59
2020-02-12,1.58
2020-02-19,1.58
2020-02-26,1.58
2020-03-04,1.51
2020-03-11,1.09
2020-03-18,0.74
2020-03-25,0.15
2020-04-01,0.09
2020-04-08,0.05
2020-04-15,0.05
2020-04-22,0.05
2020-04-29,0.04
2020-05-06,0.05
2020-05-13,0.05
2020-05-20,0.05
2020-05-27,0.05
2020-06-03,0.05
2020-06-10,0.07
2020-06-17,0.08
2020-06-24,0.09
2020-07-01,0.08
2020-07-08,0.09
2020-07-15,0.09
2020-07-22,0.09
2020-07-29,0.09
2020-08-05,0.10
2020-08-12,0.10
2020-08-19,0.10
2020-08-26,0.09
2020-09-02,0.09
2020-09-09,0.09
2020-09-16,0.09
2020-09-23,0.09
2020-09-30,0.09
2020-10-07,0.09
2020-10-14,0.09
2020-10-21,0.09
2020-10-28,0.09
2020-11-04,0.09
2020-11-11,0.09
2020-11-18,0.09
2020-11-25,0.08
2020-12-02,0.08
2020-12-09,0.09
2020-12-16,0.09
2020-12-23,0.09
2020-12-30,0.09
2021-01-06,0.09
2021-01-13,0.09
2021-01-20,0.09
2021-01-27,0.08
2021-02-03,0.07
2021-02-10,0.08
2021-02-17,0.08
2021-02-24,0.07
2021-03-03,0.07
2021-03-10,0.07
2021-03-17,0.07
2021-03-24,0.07
2021-03-31,0.07
2021-04-07,0.07
2021-04-14,0.07
2021-04-21,0.07
2021-04-28,0.07
2021-05-05,0.06
2021-05-12,0.06
2021-05-19,0.06
2021-05-26,0.06
2021-06-02,0.05
2021-06-09,0.06
2021-06-16,0.06
2021-06-23,0.10
2021-06-30,0.10
2021-07-07,0.10
2021-07-14,0.10
2021-07-21,0.10
2021-07-28,0.10
2021-08-04,0.09
2021-08-11,0.10
2021-08-18,0.10
2021-08-25,0.09
2021-09-01,0.08
2021-09-08,0.08
2021-09-15,0.08
2021-09-22,0.08
2021-09-29,0.08
2021-10-06,0.08
2021-10-13,0.08
2021-10-20,0.08
2021-10-27,0.08
2021-11-03,0.08
2021-11-10,0.08
2021-11-17,0.08
2021-11-24,0.08
2021-12-01,0.08
2021-12-08,0.08
2021-12-15,0.08
2021-12-22,0.08
2021-12-29,0.08
2022-01-05,0.08
2022-01-12,0.08
2022-01-19,0.08
2022-01-26,0.08
2022-02-02,0.08
2022-02-09,0.08
2022-02-16,0.08
2022-02-23,0.08
2022-03-02,0.08
2022-03-09,0.08
2022-03-16,0.08
2022-03-23,0.33
2022-03-30,0.33
2022-04-06,0.33
2022-04-13,0.33
2022-04-20,0.33
2022-04-27,0.33
2022-05-04,0.33
2022-05-11,0.83
2022-05-18,0.83
2022-05-25,0.83
2022-06-01,0.83
2022-06-08,0.83
2022-06-15,0.83
2022-06-22,1.58
2022-06-29,1.58
2022-07-06,1.58
2022-07-13,1.58
2022-07-20,1.58
2022-07-27,1.58
2022-08-03,2.33
2022-08-10,2.33
2022-08-17,2.33
2022-08-24,2.33
2022-08-31,2.33
2022-09-07,2.33
2022-09-14,2.33
2022-09-21,2.33
2022-09-28,3.08
2022-10-05,3.08
2022-10-12,3.08
2022-10-19,3.08
2022-10-26,3.08
2022-11-02,3.08
2022-11-09,3.83
2022-11-16,3.83
2022-11-23,3.83
2022-11-30,3.83
2022-12-07,3.83
2022-12-14,3.83
2022-12-21,4.33
2022-12-28,4.33
2023-01-04,4.33
2023-01-11,4.33
2023-01-18,4.33
2023-01-25,4.33
2023-02-01,4.33
2023-02-08,4.58
2023-02-15,4.58
2023-02-22,4.58
2023-03-01,4.58
2023-03-08,4.57
2023-03-15,4.57
2023-03-22,4.58
2023-03-29,4.83
2023-04-05,4.83
2023-04-12,4.83
2023-04-19,4.83
2023-04-26,4.83
2023-05-03,4.83
